Last Name,First and Middle,Area,Role,Years Served,,,,,,,,,,,,,,
Anderson,Walker,Escambia,Supreme Court Justice: Florida,1851-1853,,,,,,,,,,,,,,
Thompson,Leslie Atchinson,Leon,Supreme Court Justice: Florida,1851-1853,,,,,,,,,,,,,,
Semmes,Albert G.,Franklin,Supreme Court Justice: Florida,1851-1853,,,,,,,,,,,,,,
Wright,Benjamin D. ,Escambia,Supreme Court Justice: Florida,1853-1853,,,,,,,,,,,,,,
DuPont,Charles H.,Gadsend,Supreme Court Justice: Florida,1848-1868,,,,,,,,,,,,,,
Pearson,Bird M.,Hernando,Supreme Court Justice: Florida,1856-1859,,,,,,,,,,,,,,
Forward,WIlliam A.,St. Johns,Supreme Court Justice: Florida,1860-1865,,,,,,,,,,,,,,
Walker,David Shelby,Leon,Supreme Court Justice: Florida,1850-1865,,,,,,,,,,,,,,
Maxwell,Augustus,Escambia,Supreme Court Justice: Florida,1865-1866,,,,,,,,,,,,,,
Maxwell,Augustus,Escambia,Supreme Court Justice: Florida,1887-1891,,,,,,,,,,,,,,
Baker,James McNair,Baker,Supreme Court Justice: Florida,1865-1868,,,,,,,,,,,,,,
Douglas,Samuel J,Monroe,Supreme Court Justice: Florida,1866-1868,,,,,,,,,,,,,,
Randall,Edwin M.,Duval,Supreme Court Justice: Florida,1869-1885,,,,,,,,,,,,,,
Hart,Ossian Bingley,Duval,Supreme Court Justice: Florida,1868-1873,,,,,,,,,,,,,,
Westcott,James III,Leon,Supreme Court Justice: Florida,1868-1885,,,,,,,,,,,,,,
Fraser,Franklin D.,Duval,Supreme Court Justice: Florida,1873-1874,,,,,,,,,,,,,,
Valkenburgh,Robert B.,Suwanne,Supreme Court Justice: Florida,1875-1888,,,,,,,,,,,,,,
McWhorter,George G.,Santa Rosa,Supreme Court Justice: Florida,1885-1887,,,,,,,,,,,,,,
Raney,George P.,Franklin,Supreme Court Justice: Florida,1885-1894,,,,,,,,,,,,,,
Mitchell,Henry Laurens,Hillsborough,Supreme Court Justice: Florida,1888-1891,,,,,,,,,,,,,,
Taylor,Fenwick R.,Alachua,Supreme Court Justice: Florida,1891-1925,,,,,,,,,,,,,,
Mabry,Milton H.,Sumter,Supreme Court Justice: Florida,1891-1903,,,,,,,,,,,,,,
Liddon,Benjamin S.,Escambia,Supreme Court Justice: Florida,1894-1896,,,,,,,,,,,,,,
Carter,Francis B.,Jackson,Supreme Court Justice: Florida,1897-1905,,,,,,,,,,,,,,
Shackleford,Thomas M.,Marion,Supreme Court Justice: Florida,1902-1917,,,,,,,,,,,,,,
Cockrell,Robert S.,Miami-Dade,Supreme Court Justice: Florida,1902-1917,,,,,,,,,,,,,,
Maxwell,Evelyn C.,Escambia,Supreme Court Justice: Florida,1902-1904,,,,,,,,,,,,,,
Hocker,William A.,Marionm,Supreme Court Justice: Florida,1903-1915,,,,,,,,,,,,,,
Whitfield,James B. ,Leon,Supreme Court Justice: Florida,1904-1943,,,,,,,,,,,,,,
Parkhill,Charles B.,Escambia,Supreme Court Justice: Florida,1905-1912,,,,,,,,,,,,,,
Ellis,W. H. ,Escambia,Supreme Court Justice: Florida,1915-1938,,,,,,,,,,,,,,
Browne,Jefferson B.,Monroe,Supreme Court Justice: Florida,1917-1925,,,,,,,,,,,,,,
West,Thomas F.,Santa Rosa,Supreme Court Justice: Florida,1917-1925,,,,,,,,,,,,,,
Congar,Obediah,Duval,Mayor: Jacksonville,1844-1945,,,,,,,,,,,,,,
Lancaster,Joesph B.,Alachua,Mayor: Jacksonville,1846-1847,,,,,,,,,,,,,,
Wood,Oliver,Duval,Mayor: Jacksonville,1847-1848,,,,,,,,,,,,,,
Dorman,Rodney,Duval,Mayor: Jacksonville,1849-1850,,,,,,,,,,,,,,
Baker,J. McRobert,Duval,Mayor: Jacksonville,1850-1851,,,,,,,,,,,,,,
Dorman,Rodney,Duval,Mayor: Jacksonville,1851-852,,,,,,,,,,,,,,
Holland,Henry D.,Duval ,Mayor: Jacksonville,1852-1853,,,,,,,,,,,,,,
Swart,Isaac,Duval,Mayor: Jacksonville,1853-1854,,,,,,,,,,,,,,
Barrett,F. C.,Duval ,Mayor: Jacksonville,1854-1855,,,,,,,,,,,,,,
Fraser,Philip,Duval,Mayor: Jacksonville,1855-1856,,,,,,,,,,,,,,
Wheaton,F. I.,Duval,Mayor: Jacksonville,1856-1857,,,,,,,,,,,,,,
Gibbs,George Couper,Duval ,Mayor: Jacksonville,1856-1857,,,,,,,,,,,,,,
Murdock,John S.,Duval,Mayor: Jacksonville,1858-1859,,,,,,,,,,,,,,
Steele,Holmes,Duval,Mayor: Jacksonville,1859-1860,,,,,,,,,,,,,,
Hoeg,Halstead H.,Duval ,Mayor: Jacksonville,1861-1862,,,,,,,,,,,,,,
Hoeg,Halstead H.,Duval ,Mayor: Jacksonville,1865-1866,,,,,,,,,,,,,,
Steele,Holmes,Duval,Mayor: Jacksonville,1866-1867,,,,,,,,,,,,,,
Clark,John,Duval,Mayor: Jacksonville,1867-1868,,,,,,,,,,,,,,
Hopkins,Edward,Duval ,Mayor: Jacksonville,1868-1870,,,,,,,,,,,,,,
Jones,Peter,Duval ,Mayor: Jacksonville,1870-1873,,,,,,,,,,,,,,
Greeley,J. C.,Duval ,Mayor: Jacksonville,1873-1874,,,,,,,,,,,,,,
Jones,Peter,Duval ,Mayor: Jacksonville,1874-1876,,,,,,,,,,,,,,
McConihe,Luther,Duval ,Mayor: Jacksonville,1876-1877,,,,,,,,,,,,,,
Boyd,W. Stokes,Duval ,Mayor: Jacksonville,1877-1878,,,,,,,,,,,,,,
McConihe,Luther,Duval ,Mayor: Jacksonville,1878-1879,,,,,,,,,,,,,,
Jones,Peter,Duval ,Mayor: Jacksonville,1879-1880,,,,,,,,,,,,,,
Dey,J. Ramesy,Duval ,Mayor: Jacksonville,1880-1881,,,,,,,,,,,,,,
